"index","mzmed","rtmed","matched","qSvsMB","qSvsNC","swipesRight","swipesTotal","MB_0","MB_1","MB_2.5","MB_4.5","MB_6.5","MB_8.5","MB_26.5","NC_0","NC_1","NC_2.5","NC_4.5","NC_6.5","NC_8.5","NC_26.5","S1_0","S1_1","S1_2.5","S1_4.5","S1_6.5","S1_8.5","S1_26.5","S2_0","S2_1","S2_2.5","S2_4.5","S2_6.5","S2_8.5","S2_26.5","S3_0","S3_1","S3_2.5","S3_4.5","S3_6.5","S3_8.5","S3_26.5"
28531,533.26926,376.0015,0,0.56177,0.27198,0,0,558.19,1380.94,4222.83,4705.38,5548.34,6129.82,5509.95,123.27,256.43,707.19,604.83,621.02,697.05,697.05,609.99,1389.01,3311.19,4629.19,4031.69,4087.38,2531.71,422.92,925.32,2308.89,2888.44,999.45,2697.63,2246.09,265.33,690.02,1549.07,2595.88,1300.46,1799.1,2179.95
28535,533.27954,475.188,0,0.60461,0.73535,0,0,541.78,1421.63,1085.11,4879.52,5008.3,5429.36,5088.84,132.24,375.38,2900.12,1296.63,2275.98,1812.65,1812.65,537.56,1611.24,3413.72,1003.58,3119.73,4060.81,3647.31,374.67,1004.47,2133.96,3206.93,2071.83,2627.87,2809.75,231.01,601.37,3022.43,1955.45,1499.75,1080.37,1227.25
28555,533.73874,1014.96,0,0.0436,0.01019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1505.86,2422.63,1444.81,2974.24,0,39.48,0,1528.66,1964.93,2324.6,2711.63,0,0,0,1145.87,1690.72,2003.11,1699.1
28606,534.31135,608.6765,0,0.37109,0.72518,0,0,121.83,477.35,1103.14,6063.88,4900.8,5372.27,447.02,26.13,31.59,266.32,4448.28,4544.23,5591.74,5591.74,135.67,489.55,1143.81,4220.04,4912.78,4748.07,6446.27,92.17,266.93,507.33,5198.81,4445.04,5328.8,5506.8,69.1,183.29,404.23,4494.93,4824.65,5049.35,6428.09
28619,534.70976,526.301,0,0.50475,0.04803,0,0,0,0,0,164.48,571.7,317.42,110.08,0,0,0,2282.29,3932.13,4375.05,4375.05,0,0,81.46,1162.39,787.37,1720.19,494.97,0,0,0,1946.14,1705.33,1969,722.8,0,0,0,3223.1,2283.69,3214.56,1113.75
28648,535.22982,901.6985,0,0.04866,0.5897,0,0,0,0,0,0,0,0,0,933.66,1495.87,287.06,1119.94,1706.32,353.24,353.24,1123.82,1107.1,629.03,895.33,261.22,0,253.76,691.97,792.43,1310.64,223.19,280.64,0,0,607.43,947.5,474.87,0,293.41,275.12,244.6
28673,535.545,468.748,0,0.38139,0.07407,0,0,0,0,0,308.08,466.88,172.5,137.49,0,37.64,0,376.54,719.29,304.19,304.19,0,0,0,3346.19,2255.77,3104.48,254.68,0,39.87,0,2207.58,2765.75,1727.13,1019.68,0,0,0,2367.03,1877.53,2688.41,415.77
28692,535.94903,125.4775,0,0.31701,0.68818,0,0,0,0,0,0,0,0,0,1642.32,1066.99,0,479.02,0,0,0,2390.8,761.12,169.15,0,0,0,0,2006.16,1610.53,355.72,0,0,0,0,1852.37,1076.34,270.06,0,0,0,0
28740,537.04073,123.015,0,0.099,0.62922,0,0,0,0,0,0,0,0,0,1499.84,1274.99,816.09,0,0,0,0,2028.38,1317.37,919.28,0,0,0,0,2336.58,1486.5,305.07,0,0,194.41,0,1949.91,1579.84,816.8,0,0,0,0
28741,537.15989,895.942,0,0.07527,0.62294,0,0,0,135.42,241.03,230.9,0,212.01,0,1548.05,1303.24,540.32,601.63,772.83,792.03,792.03,1463.55,1267.73,1087.49,783.23,390.83,416.31,233.36,1557.66,1215.91,1132.4,640.6,600.81,563.49,1196.66,1535.35,1531.79,1253.81,401.57,817.66,695.81,674.94
28756,537.26803,806.217,0,0.70352,0.44939,0,0,0,0,0,5389.44,9415.06,10777.7,6651.81,0,0,0,4075.5,5367.56,4465.63,4465.63,0,0,0,1244.83,6951.57,1237.42,1684.15,2.69,0,0,6828.78,6601.19,823.52,6039.84,2.75,0,0,5250.83,623.61,9029.16,13051.52
28793,538.04859,829.9235,0,0.27555,0.55621,0,0,0,0,0,0,0,313.06,0,1250.83,1701.2,1257.3,0,0,302.59,302.59,999.58,720.03,572.91,231.94,0,294.2,0,955.03,1577.64,369.03,502.02,421.53,264.59,0,1249.26,1795.37,1312.68,0,535.56,728.13,228.64
28806,538.22804,729.284,0,0.03401,0.40126,0,0,29.13,0,0,0,0,0,0,1222.45,1007.92,219.59,0,0,798.29,798.29,1125.46,857.06,992.68,0,0,0,0,1053.49,810.21,678.47,0,0,0,0,1060.63,607.17,819.64,548.34,0,0,0
28848,539.11594,828.988,0,0.42329,0.73892,0,0,0,0,0,0,0,341.64,0,808.24,1233.68,986.16,0,381.51,0,0,825.13,1120.32,1332.54,0,0,0,0,598.08,1337.92,604.97,0,0,0,0,713.92,1239.5,1056.9,0,0,0,0
28882,539.73622,960.6215,0,0.01439,0.00376,0,0,0,0,0,0,0,0,0,18.59,82.66,0,0,0,0,0,21.43,0,0,1559.31,1594.05,1885.93,3479.62,15.06,51.58,0,687.66,1826.81,1485.81,2483.02,139.65,43.28,90.56,894.97,1514.68,1519.75,2590.53
28901,540.23437,960.603,0,0.0251,0.00602,0,0,0,0,0,0,64.73,0,0,319.55,398.71,242.54,209.44,210.66,130.22,130.22,203.52,161.91,245.93,3279.63,4301.29,4567.05,6696.96,230.83,327.52,191.44,3101.6,5314.74,5581.1,6274.37,190.38,248.1,244.57,2668.68,4965.43,5326.33,5429.09
28916,540.29798,809.654,0,0.59252,0.35653,0,0,0,3.81,0,12685.04,25495.84,26268.23,1743.22,1.6,0,0,9506,13016.55,1431.15,1431.15,2.04,0,0,13480.75,18980.98,16295.2,1331.02,2,0,0,15901.45,21938.92,20316.8,2220.58,0,0,15.74,1843.15,2118.12,2140.1,29731.13
28935,540.5345,1223.84,0,0.17065,0.44109,0,0,0,0,0,0,0,0,0,13.55,0,122.14,1650.47,3386.73,4030.65,4030.65,0,0,0,1627.33,6312.04,5218.17,2678.86,0,0,0,2027.66,0,6477.8,2966.6,0,0,0,1229.36,5500.7,6742.9,3450.1
28940,540.70139,1315.7,0,0.51943,0.37015,0,0,0,0,0,0,0,0,0,530.4,1321.28,972.96,0,0,0,0,425.32,971.98,961.33,0,0,0,555.45,640.71,1022.49,948.62,1235.55,0,471.36,638.47,845.21,830.41,181.8,370.19,844.26,411.73,867.97
28966,541.11862,923.36,0,0.46825,0.66491,0,0,0,0,0,0,0,0,0,936.62,743.95,566.03,0,873.54,0,0,978.87,1123.67,0,0,0,0,0,634.16,1049.05,173.57,0,0,0,0,881.93,945.84,242.71,0,291.05,0,0
28970,541.16776,745.694,0,0.29229,0.42961,0,0,0,0,0,0,0,0,0,1451.2,1779.12,1749.18,628.02,1476.16,706.51,706.51,1358.75,1662.78,1584.77,0,0,460.06,0,1524.14,1643.73,1560.25,0,0,0,0,1443.73,1625.96,1612.13,0,0,0,0
29014,541.75847,411.3095,0,0.44338,0.5801,0,0,0,14.28,0,2621.5,2874.28,3739.37,1868.45,2.43,0,0,11630.32,7209.91,6086.19,6086.19,0,0,0,1933.06,3760.94,4050.3,4344.85,0,0,23.92,3378.34,4590.93,5814.02,8036.74,0,0,62.98,4884.2,3556.78,4312.14,5390.46
